Study ,Domain 1,Domain 2,Domain 3,Domain 4
Ruppe 2009,No,Yes,Partially,Yes
Tande 2009,No,No,Partially,Yes
"Adriatahina, 2010",Yes,Yes,Partially,Yes
"Herindrainy, 2011",Yes,Yes,Partially,Yes
"Woerther, 2011",Yes,No,Partially,Yes
"Albrechtova, 2012",No,Partially,Partially,Yes
"Isendahl,  2012",Yes,Partially,Partially,Yes
"Lonchel, 2012",Yes,Yes,Partially,Yes
"Lonchel, 2013",Yes,Yes,Partially,Yes
"Magoue, 2013",Yes,Partially ,Partially,Yes
Schaumburg 2013,Partially,Yes,Partially,Yes
"Nelson, 2014",Yes,Yes,Yes,Yes
"Chereau, 2015",Yes,Partially,Partially,Yes
"Desta, 2018",Partially,Yes,Yes,Yes
"Djuikoue, 2016",Yes,No,Partially,Yes
"Farra, 2016",Yes,Yes,Partially,Yes
"Kurz, 2016",Yes,Yes,Partially,Yes
"Mshana, 2016",Partially,Yes,Partially,Yes
"Ribero, 2016",No,Partially,Partially,Partially
"Tellevik, 2016",Yes,Yes,Yes,Yes
"Magwenzi, 2017",Partially,Yes,Yes,Yes
"Moremi, 2017",Partially,No,Yes,Yes
"Wilmore, 2017",Yes,No,Partially,Yes
"Chrindze, 2018",Yes,No,Yes,Yes
"Founou, 2018",Partially,Yes,Yes,Yes
"Herindrainy, 2018",Yes,No,Yes,Yes
"Katakweba, 2018",No,Yes,Partially,Yes
"Marando, 2018",Yes,No,Partially,Yes
"Moremi, 2018",No,Partially ,Partially,Yes
"Nikiema Pessinaba, 2018",Yes,No,Partially,Partially
"Sanneh, 2018",Yes,Partially,Partially,Yes
"Stanley, 2018",Yes,No,Yes,Yes