review_id,year_pub,journal,first_author,title,Domain 1: Study participants adequately described?,Domain 2 - Eligibility criteria explicit and appropriate?,Domain 3: Stool culture results precise and reported? (I'm not for now including QA in this,Domain 4 ESBL confirmatory appropriate and reportedCo?,QA?
1,2012,Antimicrob Agents Chemother,Albrechtova,"Dogs of nomadic pastoralists in northern Kenya are reservoirs of plasmid-mediated cephalosporin- and quinolone-resistant Escherichia coli, including pandemic clone",No,No,Yes,Yes,N
2,2010,BMC Infect Dis,Andriatahina,High prevalence of fecal carriage of extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae in a pediatric unit in Madagascar,Yes,Yes,Yes,Yes,N
3,2015,Antimicrobial Agents and Chemotherapy,Chereau,Colonization of extended-spectrum-β-lactamase- and NDM-1-producing Enterobacteriaceae among pregnant women in the community in a low-income country: A potential reservoir for transmission of multiresistant Enterobacteriaceae to neonates,Yes,No,Yes,Yes,N
4,2018,BMC Infect Dis,Chirindze,Faecal colonization of E. coli and Klebsiella spp. producing extended-spectrum beta-lactamases and plasmid-mediated AmpC in Mozambican university students,No,No,Yes,Yes,Y
5,2016,plos one,Desta,High Gastrointestinal Colonization Rate with Extended-Spectrum beta-Lactamase-Producing Enterobacteriaceae in Hospitalized Patients: Emergence of Carbapenemase-Producing K. pneumoniae in Ethiopia,Yes,Yes,Yes,Yes,Y
6,2016,J Infect Dev Ctries,Djuikoue,"Intestinal carriage of Extended Spectrum Beta-Lactamase producing E. coli in women with urinary tract infections, Cameroon",Yes,No,Yes,Yes,N
7,2016,Clin Microbiol Infect,Farra,"High rate of faecal carriage of extended-spectrum beta-lactamase-producing Enterobacteriaceae in healthy children in Bangui, Central African Republic",Yes,No,No,No,N
8,2018,Antimicrob Resist Infect Control,Founou,Extended spectrum beta-lactamase mediated resistance in carriage and clinical gram-negative ESKAPE bacteria: a comparative study between a district and tertiary hospital in South Africa,Yes,Yes,Yes,Yes,N
9,2018,plos one,Herindrainy,Acquisition of extended spectrum beta- lactamase-producing enterobacteriaceae in neonates: A community based cohort in Madagascar,Yes,No,Yes,Yes,Y
10,2011,plos one,Herindrainy,Rectal carriage of extended-spectrum beta-lactamase-producing gram-negative bacilli in community settings in Madagascar,Yes,Yes,Yes,Yes,N
11,2012,plos one,Isendahl,Fecal carriage of ESBL-producing E. coli and K. pneumoniae in children in Guinea-Bissau: a hospital-based cross-sectional study,Yes,No,Yes,Yes,N
12,2018,Microbial Drug Resistance,Katakweba,"First Report on a Randomized Investigation of Antimicrobial Resistance in Fecal Indicator Bacteria from Livestock, Poultry, and Humans in Tanzania",No,No,No,Yes,Y
13,2016,Trop Med Int Health,Kurz,Intense pre-admission carriage and further acquisition of ESBL-producing Enterobacteriaceae among patients and their caregivers in a tertiary hospital in Rwanda,Yes,Yes,Yes,Yes,N
14,2013,Eur J Clin Microbiol Infect Dis,Lonchel,Extended-spectrum beta-lactamase-producing Enterobacteriaceae in Cameroonian hospitals,Yes,Yes,Yes,Yes,N
15,2012,BMC Infectious Diseases,Lonchel,"Proportion of extended-spectrum ß-lactamase-producing Enterobacteriaceae in community setting in Ngaoundere, Cameroon",Yes,No,Yes,Yes,N
16,2013,Clin Microbiol Infect,Magoue,"Prevalence and spread of extended-spectrum beta-lactamase-producing Enterobacteriaceae in Ngaoundere, Cameroon",Yes,No,Yes,No,N
17,2017,Antimicrob Resist Infect Control,Magwenzi,"Carriage of antibiotic-resistant Enterobacteriaceae in hospitalised children in tertiary hospitals in Harare, Zimbabwe",Yes,Yes,Yes,No,Y
18,2018,Int J Med Microbiol,Marando,"Predictors of the extended-spectrum-beta lactamases producing Enterobacteriaceae neonatal sepsis at a tertiary hospital, Tanzania",Yes,No,No,Yes,N
19,2017,plos one,Moremi,"Faecal carriage of CTX-M extended-spectrum beta-lactamase-producing Enterobacteriaceae among street children dwelling in Mwanza city, Tanzania",Yes,No,Yes,Yes,Y
20,2018,J Hosp Infect,Moremi,High carriage rate of extended-spectrum beta-lactamase-producing Enterobacteriaceae among patients admitted for surgery in Tanzanian hospitals with a low rate of endogenous surgical site infections,No,Yes,No,No,N
21,2016,BMC Infect Dis,Mshana,"Predictors of blaCTX-M-15 in varieties of Escherichia coli genotypes from humans in community settings in Mwanza, Tanzania",Yes,Yes,No,Yes,N
22,2014,BMC Res Notes,Nelson,"Evaluation of existence and transmission of extended spectrum beta lactamase producing bacteria from post-delivery women to neonates at Bugando Medical Center, Mwanza-Tanzania",Yes,No,No,Yes,N
23,2018,Med Mal Infect,Nikema Pessinaba,"Screening for extended-spectrum beta-lactamase-producing Enterobacteriaceae intestinal carriage among children aged under five in Lome, Togo",Yes,No,No,No,Y
24,2016,Journal of Antimicrobial Chemotherapy,Ribeiro,Atypical epidemiology of CTX-M-15 among Enterobacteriaceae from a high diversity of non-clinical niches in Angola,No,No,Yes,No,N
25,2009,Antimicrob Agents Chemother,Ruppe,Carriage of CTX-M-15-producing Escherichia coli isolates among children living in a remote village in Senegal,Yes,No,Yes,Yes,N
26,2018,plos one,Sanneh,Prevalence and risk factors for faecal carriage of Extended Spectrum beta-lactamase producing Enterobacteriaceae among food handlers in lower basic schools in West Coast Region of The Gambia,Yes,No,No,Yes,N
27,2013,J Antimicrob Chemother,Schaumburg,High burden of extended-spectrum beta-lactamase-producing Enterobacteriaceae in Gabon,No,Yes,Yes,Yes,N
28,2018,plos one,Stanley,"Multidrug resistance among Escherichia coli and Klebsiella pneumoniae carried in the gut of out-patients from pastoralist communities of Kasese district, Uganda",Yes,No,Yes,Yes,Y
29,2009,Emerg Infect Dis,Tande,Extended-spectrum beta-lactamase-producing Enterobacteriaceae in a Malian orphanag,No,No,Yes,No,N
30,2016,plos one,Tellevik,"High Prevalence of Faecal Carriage of ESBL-Producing Enterobacteriaceae among Children in Dar es Salaam, Tanzania",Yes,Yes,Yes,Yes,Y
31,2017,Med Microbiol,Wilmore,Carriage of extended-spectrum beta-lactamase-producing Enterobacteriaceae in HIV-infected children in Zimbabwe,Yes,No,Yes,Yes,N
32,2011,Clin Infect Dis,Woerther,"Massive increase, spread, and exchange of extended spectrum beta-lactamase-encoding genes among intestinal Enterobacteriaceae in hospitalized children with severe acute malnutrition in Niger",Yes,No,Yes,Yes,N